Code_Article,Libelle_Article,Rayon,Famille,Sous famille,Categorie,Sous_Categorie,Prix,combined,similar_product_in_dataset2,Prix_Produit_dataset2,Description_Produit_dataset2,similar_product_in_dataset3,Prix_Produit_dataset3,Prix_Produit_Avant_Promos_dataset3,Description_Produit_dataset3
662000177,B.Gaz BOGA Lim Sans Sucre Bte 24Cl,1173 - LIQUIDES NON ALCOOLISES,1173201 - LIMONADES SODAS EXTRAIT,117320103 - CLEAR LIMES,11732010301 - LIMES,1173201030159 - BOUTEILLE PLASTIQUE INFERIEUR A 100 CL,1240,nom_produit : b.gaz boga lim sans sucre bte 240.0ml description_produit : 1173 - liquides non alcoolises categorie 1: 1173201 - limonades sodas extrait categorie 2 : 117320103 - clear limes,BOGA lim sans sucre,1 dt 070,La canette de 24cl,,,,
662000197,B.Gaz BOGA MENTHE Bte 24Cl,1173 - LIQUIDES NON ALCOOLISES,1173201 - LIMONADES SODAS EXTRAIT,117320103 - CLEAR LIMES,11732010301 - LIMES,1173201030159 - BOUTEILLE PLASTIQUE INFERIEUR A 100 CL,1300,nom_produit : b.gaz boga menthe bte 240.0ml description_produit : 1173 - liquides non alcoolises categorie 1: 1173201 - limonades sodas extrait categorie 2 : 117320103 - clear limes,Boga menthe,1 dt 090,La canette de 24cl,,,,
662000207,B.Gaz Fanta Pomme Bte 24Cl,1173 - LIQUIDES NON ALCOOLISES,1173201 - LIMONADES SODAS EXTRAIT,117320103 - CLEAR LIMES,11732010301 - LIMES,1173201030159 - BOUTEILLE PLASTIQUE INFERIEUR A 100 CL,1240,nom_produit : b.gaz fanta pomme bte 240.0ml description_produit : 1173 - liquides non alcoolises categorie 1: 1173201 - limonades sodas extrait categorie 2 : 117320103 - clear limes,,,,Boisson gazeuse Fanta Lemon,1.230 TND,none, 24cl
662100457,B.Gaz Lime BOGA Pet 50CL,1173 - LIQUIDES NON ALCOOLISES,1173201 - LIMONADES SODAS EXTRAIT,117320103 - CLEAR LIMES,11732010301 - LIMES,1173201030159 - BOUTEILLE PLASTIQUE INFERIEUR A 100 CL,1390,nom_produit : b.gaz lime boga pet 500.0ml description_produit : 1173 - liquides non alcoolises categorie 1: 1173201 - limonades sodas extrait categorie 2 : 117320103 - clear limes,,,,,,,
662000157,B.Gaz BOGA Lim Bte 24Cl,1173 - LIQUIDES NON ALCOOLISES,1173201 - LIMONADES SODAS EXTRAIT,117320103 - CLEAR LIMES,11732010301 - LIMES,1173201030162 - BOITE METAL,1350,nom_produit : b.gaz boga lim bte 240.0ml description_produit : 1173 - liquides non alcoolises categorie 1: 1173201 - limonades sodas extrait categorie 2 : 117320103 - clear limes,BOGA lim sans sucre,1 dt 070,La canette de 24cl,,,,
662000147,B.GAZ BOGA S SUCRE PET 50Cl,1173 - LIQUIDES NON ALCOOLISES,1173201 - LIMONADES SODAS EXTRAIT,117320105 - SODAS AUX EXTRAITS DE PLANTES,11732010501 - MENTHE,1173201050158 - BOUTEILLE PLASTIQUE SUPERIEUR OU = 100CL,1420,nom_produit : b.gaz boga s sucre pet 500.0ml description_produit : 1173 - liquides non alcoolises categorie 1: 1173201 - limonades sodas extrait categorie 2 : 117320105 - sodas aux extraits de plantes,,,,,,,
662100757,B.GAZ BOGA SS SUCRE PET 1L,1173 - LIQUIDES NON ALCOOLISES,1173201 - LIMONADES SODAS EXTRAIT,117320105 - SODAS AUX EXTRAITS DE PLANTES,11732010501 - MENTHE,1173201050158 - BOUTEILLE PLASTIQUE SUPERIEUR OU = 100CL,2280,nom_produit : b.gaz boga ss sucre pet 1l description_produit : 1173 - liquides non alcoolises categorie 1: 1173201 - limonades sodas extrait categorie 2 : 117320105 - sodas aux extraits de plantes,,,,,,,
662180126,B.Gaz Menthe BOGA Pet 1L,1173 - LIQUIDES NON ALCOOLISES,1173201 - LIMONADES SODAS EXTRAIT,117320105 - SODAS AUX EXTRAITS DE PLANTES,11732010501 - MENTHE,1173201050158 - BOUTEILLE PLASTIQUE SUPERIEUR OU = 100CL,2360,nom_produit : b.gaz menthe boga pet 1l description_produit : 1173 - liquides non alcoolises categorie 1: 1173201 - limonades sodas extrait categorie 2 : 117320105 - sodas aux extraits de plantes,,,,,,,
662180106,B.Gaz Menthe BOGA Pet 50CL,1173 - LIQUIDES NON ALCOOLISES,1173201 - LIMONADES SODAS EXTRAIT,117320105 - SODAS AUX EXTRAITS DE PLANTES,11732010501 - MENTHE,1173201050159 - BOUTEILLE PLASTIQUE INFERIEUR A 100 CL,1390,nom_produit : b.gaz menthe boga pet 500.0ml description_produit : 1173 - liquides non alcoolises categorie 1: 1173201 - limonades sodas extrait categorie 2 : 117320105 - sodas aux extraits de plantes,,,,,,,
662100067,B.Gaz Indian Tonic SCHWEPPES Pet 1L,1173 - LIQUIDES NON ALCOOLISES,1173201 - LIMONADES SODAS EXTRAIT,117320105 - SODAS AUX EXTRAITS DE PLANTES,11732010503 - TONIC,1173201050358 - BOUTEILLE PLASTIQUE SUPERIEUR OU = 100CL,2590,nom_produit : b.gaz indian tonic schweppes pet 1l description_produit : 1173 - liquides non alcoolises categorie 1: 1173201 - limonades sodas extrait categorie 2 : 117320105 - sodas aux extraits de plantes,,,,,,,
662180097,"B.Gaz Tonic SCHWEPPES Pet 0,5L",1173 - LIQUIDES NON ALCOOLISES,1173201 - LIMONADES SODAS EXTRAIT,117320105 - SODAS AUX EXTRAITS DE PLANTES,11732010503 - TONIC,1173201050359 - BOUTEILLE PLASTIQUE INFERIEUR A 100 CL,1690,"nom_produit : b.gaz tonic schweppes pet 0,5l description_produit : 1173 - liquides non alcoolises categorie 1: 1173201 - limonades sodas extrait categorie 2 : 117320105 - sodas aux extraits de plantes",,,,,,,
662140268,B.G SCHWEPPES AGRUMES Bte 24 CL,1173 - LIQUIDES NON ALCOOLISES,1173201 - LIMONADES SODAS EXTRAIT,117320105 - SODAS AUX EXTRAITS DE PLANTES,11732010503 - TONIC,1173201050362 - BOITE METAL,1240,nom_produit : b.g schweppes agrumes bte 240.0ml description_produit : 1173 - liquides non alcoolises categorie 1: 1173201 - limonades sodas extrait categorie 2 : 117320105 - sodas aux extraits de plantes,SCHWEPPES citron,1 dt 070,La canette de 24cl,,,,
662140278,B.G SCHWEPPES CITRON Bte 24 CL,1173 - LIQUIDES NON ALCOOLISES,1173201 - LIMONADES SODAS EXTRAIT,117320105 - SODAS AUX EXTRAITS DE PLANTES,11732010503 - TONIC,1173201050362 - BOITE METAL,1240,nom_produit : b.g schweppes citron bte 240.0ml description_produit : 1173 - liquides non alcoolises categorie 1: 1173201 - limonades sodas extrait categorie 2 : 117320105 - sodas aux extraits de plantes,SCHWEPPES citron,1 dt 070,La canette de 24cl,,,,
662140288,B.G SCHWEPPES TONIC Bte 24 CL,1173 - LIQUIDES NON ALCOOLISES,1173201 - LIMONADES SODAS EXTRAIT,117320105 - SODAS AUX EXTRAITS DE PLANTES,11732010503 - TONIC,1173201050362 - BOITE METAL,1240,nom_produit : b.g schweppes tonic bte 240.0ml description_produit : 1173 - liquides non alcoolises categorie 1: 1173201 - limonades sodas extrait categorie 2 : 117320105 - sodas aux extraits de plantes,SCHWEPPES tonic,1 dt 070,La canette de 24cl,,,,
662140298,B.G SPRITE Bte 24 CL,1173 - LIQUIDES NON ALCOOLISES,1173201 - LIMONADES SODAS EXTRAIT,117320105 - SODAS AUX EXTRAITS DE PLANTES,11732010503 - TONIC,1173201050362 - BOITE METAL,1230,nom_produit : b.g sprite bte 240.0ml description_produit : 1173 - liquides non alcoolises categorie 1: 1173201 - limonades sodas extrait categorie 2 : 117320105 - sodas aux extraits de plantes,SCHWEPPES citron,1 dt 070,La canette de 24cl,,,,
662000167,B.Gaz BOGA Cidre Bte 24Cl,1173 - LIQUIDES NON ALCOOLISES,1173201 - LIMONADES SODAS EXTRAIT,117320105 - SODAS AUX EXTRAITS DE PLANTES,11732010599 - AUTRES,1173201059902 - X1,1240,nom_produit : b.gaz boga cidre bte 240.0ml description_produit : 1173 - liquides non alcoolises categorie 1: 1173201 - limonades sodas extrait categorie 2 : 117320105 - sodas aux extraits de plantes,BOGA cidre,1 dt 070,La canette de 24cl,,,,
662100157,B.Gaz Cidre BOGA Pet 1L,1173 - LIQUIDES NON ALCOOLISES,1173201 - LIMONADES SODAS EXTRAIT,117320105 - SODAS AUX EXTRAITS DE PLANTES,11732010599 - AUTRES,1173201059902 - X1,2360,nom_produit : b.gaz cidre boga pet 1l description_produit : 1173 - liquides non alcoolises categorie 1: 1173201 - limonades sodas extrait categorie 2 : 117320105 - sodas aux extraits de plantes,,,,,,,
662100227,"B.Gaz Cidre BOGA Pet 1,5L",1173 - LIQUIDES NON ALCOOLISES,1173201 - LIMONADES SODAS EXTRAIT,117320105 - SODAS AUX EXTRAITS DE PLANTES,11732010599 - AUTRES,1173201059902 - X1,2990,"nom_produit : b.gaz cidre boga pet 1,5l description_produit : 1173 - liquides non alcoolises categorie 1: 1173201 - limonades sodas extrait categorie 2 : 117320105 - sodas aux extraits de plantes",,,,,,,
662181437,B.Gaz Cidre PUNCH PET 1.5L,1173 - LIQUIDES NON ALCOOLISES,1173201 - LIMONADES SODAS EXTRAIT,117320105 - SODAS AUX EXTRAITS DE PLANTES,11732010599 - AUTRES,1173201059902 - X1,2900,nom_produit : b.gaz cidre punch pet 1.5l description_produit : 1173 - liquides non alcoolises categorie 1: 1173201 - limonades sodas extrait categorie 2 : 117320105 - sodas aux extraits de plantes,,,,,,,
662181487,B.Gaz Cidre PUNCH Pet 0.5L,1173 - LIQUIDES NON ALCOOLISES,1173201 - LIMONADES SODAS EXTRAIT,117320105 - SODAS AUX EXTRAITS DE PLANTES,11732010599 - AUTRES,1173201059902 - X1,1550,nom_produit : b.gaz cidre punch pet 0.5l description_produit : 1173 - liquides non alcoolises categorie 1: 1173201 - limonades sodas extrait categorie 2 : 117320105 - sodas aux extraits de plantes,,,,,,,
662181757,B.Gaz Cidre PUNCH Pet 1L,1173 - LIQUIDES NON ALCOOLISES,1173201 - LIMONADES SODAS EXTRAIT,117320105 - SODAS AUX EXTRAITS DE PLANTES,11732010599 - AUTRES,1173201059902 - X1,2570,nom_produit : b.gaz cidre punch pet 1l description_produit : 1173 - liquides non alcoolises categorie 1: 1173201 - limonades sodas extrait categorie 2 : 117320105 - sodas aux extraits de plantes,,,,,,,
663281387,B.Gaz Cidre BOGA Pet 50CL,1173 - LIQUIDES NON ALCOOLISES,1173201 - LIMONADES SODAS EXTRAIT,117320105 - SODAS AUX EXTRAITS DE PLANTES,11732010599 - AUTRES,1173201059902 - X1,1380,nom_produit : b.gaz cidre boga pet 500.0ml description_produit : 1173 - liquides non alcoolises categorie 1: 1173201 - limonades sodas extrait categorie 2 : 117320105 - sodas aux extraits de plantes,,,,,,,
662000010,"B.Gaz Cola COCA Pet 1,5L",1173 - LIQUIDES NON ALCOOLISES,1173201 - LIMONADES SODAS EXTRAIT,117320107 - COLAS,11732010701 - STANDARD,1173201070158 - BOUTEILLE PLASTIQUE SUPERIEUR OU = 100CL,3030,"nom_produit : b.gaz cola coca pet 1,5l description_produit : 1173 - liquides non alcoolises categorie 1: 1173201 - limonades sodas extrait categorie 2 : 117320107 - colas",,,,,,,
662000020,B.Gaz Cola  COCA Pet 1L,1173 - LIQUIDES NON ALCOOLISES,1173201 - LIMONADES SODAS EXTRAIT,117320107 - COLAS,11732010701 - STANDARD,1173201070158 - BOUTEILLE PLASTIQUE SUPERIEUR OU = 100CL,2250,nom_produit : b.gaz cola  coca pet 1l description_produit : 1173 - liquides non alcoolises categorie 1: 1173201 - limonades sodas extrait categorie 2 : 117320107 - colas,,,,,,,
662080016,B.Gaz Cola COCA Pet 1.25L,1173 - LIQUIDES NON ALCOOLISES,1173201 - LIMONADES SODAS EXTRAIT,117320107 - COLAS,11732010701 - STANDARD,1173201070158 - BOUTEILLE PLASTIQUE SUPERIEUR OU = 100CL,1700,nom_produit : b.gaz cola coca pet 1.25l description_produit : 1173 - liquides non alcoolises categorie 1: 1173201 - limonades sodas extrait categorie 2 : 117320107 - colas,,,,,,,
662000067,B.GAZ COLA COCA PET 50CL,1173 - LIQUIDES NON ALCOOLISES,1173201 - LIMONADES SODAS EXTRAIT,117320107 - COLAS,11732010701 - STANDARD,1173201070159 - BOUTEILLE PLASTIQUE INFERIEUR A 100 CL,1380,nom_produit : b.gaz cola coca pet 500.0ml description_produit : 1173 - liquides non alcoolises categorie 1: 1173201 - limonades sodas extrait categorie 2 : 117320107 - colas,,,,,,,
662080357,B.GAZ COLA COCA PET 30CL,1173 - LIQUIDES NON ALCOOLISES,1173201 - LIMONADES SODAS EXTRAIT,117320107 - COLAS,11732010701 - STANDARD,1173201070159 - BOUTEILLE PLASTIQUE INFERIEUR A 100 CL,1120,nom_produit : b.gaz cola coca pet 300.0ml description_produit : 1173 - liquides non alcoolises categorie 1: 1173201 - limonades sodas extrait categorie 2 : 117320107 - colas,COCA COLA zéro,1 dt 150,La bouteille de 30cl,,,,
662080367,B.GAZ BOGA LIM PET 30CL,1173 - LIQUIDES NON ALCOOLISES,1173201 - LIMONADES SODAS EXTRAIT,117320107 - COLAS,11732010701 - STANDARD,1173201070159 - BOUTEILLE PLASTIQUE INFERIEUR A 100 CL,1100,nom_produit : b.gaz boga lim pet 300.0ml description_produit : 1173 - liquides non alcoolises categorie 1: 1173201 - limonades sodas extrait categorie 2 : 117320107 - colas,BOGA lim,1 dt 120,La bouteille de 30cl,,,,
662080377,B.GAZ COCA COLA ZERO PET 30CL,1173 - LIQUIDES NON ALCOOLISES,1173201 - LIMONADES SODAS EXTRAIT,117320107 - COLAS,11732010701 - STANDARD,1173201070159 - BOUTEILLE PLASTIQUE INFERIEUR A 100 CL,1260,nom_produit : b.gaz coca cola zero pet 300.0ml description_produit : 1173 - liquides non alcoolises categorie 1: 1173201 - limonades sodas extrait categorie 2 : 117320107 - colas,COCA COLA zéro,1 dt 150,La bouteille de 30cl,,,,
662080387,B.GAZ BOGA MOJITO PET 30CL,1173 - LIQUIDES NON ALCOOLISES,1173201 - LIMONADES SODAS EXTRAIT,117320107 - COLAS,11732010701 - STANDARD,1173201070159 - BOUTEILLE PLASTIQUE INFERIEUR A 100 CL,1200,nom_produit : b.gaz boga mojito pet 300.0ml description_produit : 1173 - liquides non alcoolises categorie 1: 1173201 - limonades sodas extrait categorie 2 : 117320107 - colas,BOGA Mojito,1 dt 150,La bouteille de 30cl,,,,
662080417,FANTA ORANGE PET 30 CL,1173 - LIQUIDES NON ALCOOLISES,1173201 - LIMONADES SODAS EXTRAIT,117320107 - COLAS,11732010701 - STANDARD,1173201070159 - BOUTEILLE PLASTIQUE INFERIEUR A 100 CL,1120,nom_produit : fanta orange pet 300.0ml description_produit : 1173 - liquides non alcoolises categorie 1: 1173201 - limonades sodas extrait categorie 2 : 117320107 - colas,FANTA orange,1 dt 050,La bouteille de 30cl,,,,
662080427,B.GAZ BOGA SS SUCRE PET 30CL,1173 - LIQUIDES NON ALCOOLISES,1173201 - LIMONADES SODAS EXTRAIT,117320107 - COLAS,11732010701 - STANDARD,1173201070159 - BOUTEILLE PLASTIQUE INFERIEUR A 100 CL,1260,nom_produit : b.gaz boga ss sucre pet 300.0ml description_produit : 1173 - liquides non alcoolises categorie 1: 1173201 - limonades sodas extrait categorie 2 : 117320107 - colas,BOGA sans sucre,1 dt 050,La bouteille de 30cl,,,,
662080467,B.G PULPE PUNCH PET 30 CL,1173 - LIQUIDES NON ALCOOLISES,1173201 - LIMONADES SODAS EXTRAIT,117320107 - COLAS,11732010701 - STANDARD,1173201070159 - BOUTEILLE PLASTIQUE INFERIEUR A 100 CL,980,nom_produit : b.g pulpe punch pet 300.0ml description_produit : 1173 - liquides non alcoolises categorie 1: 1173201 - limonades sodas extrait categorie 2 : 117320107 - colas,PUNCH à la pulpe d'orange,1 dt 350,La bouteille de 30cl,,,,
662140297,B.GAZ FANTA TROPICAL PET 50Cl,1173 - LIQUIDES NON ALCOOLISES,1173201 - LIMONADES SODAS EXTRAIT,117320107 - COLAS,11732010701 - STANDARD,1173201070159 - BOUTEILLE PLASTIQUE INFERIEUR A 100 CL,1390,nom_produit : b.gaz fanta tropical pet 500.0ml description_produit : 1173 - liquides non alcoolises categorie 1: 1173201 - limonades sodas extrait categorie 2 : 117320107 - colas,,,,,,,
662280137,B.GAZ BOGA CIDRE PET 30CL,1173 - LIQUIDES NON ALCOOLISES,1173201 - LIMONADES SODAS EXTRAIT,117320107 - COLAS,11732010701 - STANDARD,1173201070159 - BOUTEILLE PLASTIQUE INFERIEUR A 100 CL,1100,nom_produit : b.gaz boga cidre pet 300.0ml description_produit : 1173 - liquides non alcoolises categorie 1: 1173201 - limonades sodas extrait categorie 2 : 117320107 - colas,BOGA cidre,1 dt 050,La bouteille de 30cl,,,,
662000077,B.Gaz COCA COCA Bte 24Cl,1173 - LIQUIDES NON ALCOOLISES,1173201 - LIMONADES SODAS EXTRAIT,117320107 - COLAS,11732010701 - STANDARD,1173201070162 - BOITE METAL,1200,nom_produit : b.gaz coca coca bte 240.0ml description_produit : 1173 - liquides non alcoolises categorie 1: 1173201 - limonades sodas extrait categorie 2 : 117320107 - colas,COCA COLA zéro,1 dt 070,La canette de 24cl,,,,
662080027,"B.Gaz Cola Zero COCA Pet 1,5L",1173 - LIQUIDES NON ALCOOLISES,1173201 - LIMONADES SODAS EXTRAIT,117320107 - COLAS,11732010720 - STANDARD LIGHT,1173201072058 - BOUTEILLE PLASTIQUE SUPERIEUR OU = 100CL,2840,"nom_produit : b.gaz cola zero coca pet 1,5l description_produit : 1173 - liquides non alcoolises categorie 1: 1173201 - limonades sodas extrait categorie 2 : 117320107 - colas",,,,,,,
662080227,B.Gaz Cola Zero COCA Pet 1L,1173 - LIQUIDES NON ALCOOLISES,1173201 - LIMONADES SODAS EXTRAIT,117320107 - COLAS,11732010720 - STANDARD LIGHT,1173201072058 - BOUTEILLE PLASTIQUE SUPERIEUR OU = 100CL,2280,nom_produit : b.gaz cola zero coca pet 1l description_produit : 1173 - liquides non alcoolises categorie 1: 1173201 - limonades sodas extrait categorie 2 : 117320107 - colas,,,,,,,
662080237,B.GAZ COLA ZERO COCA PET 50CL,1173 - LIQUIDES NON ALCOOLISES,1173201 - LIMONADES SODAS EXTRAIT,117320107 - COLAS,11732010720 - STANDARD LIGHT,1173201072059 - BOUTEILLE PLASTIQUE INFERIEUR A 100 CL,1310,nom_produit : b.gaz cola zero coca pet 500.0ml description_produit : 1173 - liquides non alcoolises categorie 1: 1173201 - limonades sodas extrait categorie 2 : 117320107 - colas,,,,,,,
662100777,B.Gaz COCA COLA ZERO Bte 24Cl,1173 - LIQUIDES NON ALCOOLISES,1173201 - LIMONADES SODAS EXTRAIT,117320107 - COLAS,11732010720 - STANDARD LIGHT,1173201072062 - BOITE METAL,1240,nom_produit : b.gaz coca cola zero bte 240.0ml description_produit : 1173 - liquides non alcoolises categorie 1: 1173201 - limonades sodas extrait categorie 2 : 117320107 - colas,COCA COLA zéro,1 dt 070,La canette de 24cl,,,,
662140387,B.Gaz ORANGINA Bte 24Cl,1173 - LIQUIDES NON ALCOOLISES,1173201 - LIMONADES SODAS EXTRAIT,117320109 - SODAS AUX EXTRAITS DE FRUITS,11732010901 - ORANGE,1173201090156 - BOUTEILLE VERRE INFERIEUR OU = A  50 CL,1450,nom_produit : b.gaz orangina bte 240.0ml description_produit : 1173 - liquides non alcoolises categorie 1: 1173201 - limonades sodas extrait categorie 2 : 117320109 - sodas aux extraits de fruits,,,,Boisson gazeuse Schweppes Agrumes,1.230 TND,none, 24cl
662080477,B.Gaz Lim PUNCH PET 1.5L,1173 - LIQUIDES NON ALCOOLISES,1173201 - LIMONADES SODAS EXTRAIT,117320109 - SODAS AUX EXTRAITS DE FRUITS,11732010901 - ORANGE,1173201090158 - BOUTEILLE PLASTIQUE SUPERIEUR OU = 100CL,2990,nom_produit : b.gaz lim punch pet 1.5l description_produit : 1173 - liquides non alcoolises categorie 1: 1173201 - limonades sodas extrait categorie 2 : 117320109 - sodas aux extraits de fruits,,,,,,,
662080487,B.Gaz Lim PUNCH PET 1L,1173 - LIQUIDES NON ALCOOLISES,1173201 - LIMONADES SODAS EXTRAIT,117320109 - SODAS AUX EXTRAITS DE FRUITS,11732010901 - ORANGE,1173201090158 - BOUTEILLE PLASTIQUE SUPERIEUR OU = 100CL,2570,nom_produit : b.gaz lim punch pet 1l description_produit : 1173 - liquides non alcoolises categorie 1: 1173201 - limonades sodas extrait categorie 2 : 117320109 - sodas aux extraits de fruits,,,,,,,
662100017,B.Gaz Orange FANTA Pet 1L,1173 - LIQUIDES NON ALCOOLISES,1173201 - LIMONADES SODAS EXTRAIT,117320109 - SODAS AUX EXTRAITS DE FRUITS,11732010901 - ORANGE,1173201090158 - BOUTEILLE PLASTIQUE SUPERIEUR OU = 100CL,2360,nom_produit : b.gaz orange fanta pet 1l description_produit : 1173 - liquides non alcoolises categorie 1: 1173201 - limonades sodas extrait categorie 2 : 117320109 - sodas aux extraits de fruits,,,,,,,
662100207,"B.Gaz Orange FANTA Pet 1,5L",1173 - LIQUIDES NON ALCOOLISES,1173201 - LIMONADES SODAS EXTRAIT,117320109 - SODAS AUX EXTRAITS DE FRUITS,11732010901 - ORANGE,1173201090158 - BOUTEILLE PLASTIQUE SUPERIEUR OU = 100CL,2990,"nom_produit : b.gaz orange fanta pet 1,5l description_produit : 1173 - liquides non alcoolises categorie 1: 1173201 - limonades sodas extrait categorie 2 : 117320109 - sodas aux extraits de fruits",,,,,,,
662140317,B.Gaz TROPICO Pet 1.5L,1173 - LIQUIDES NON ALCOOLISES,1173201 - LIMONADES SODAS EXTRAIT,117320109 - SODAS AUX EXTRAITS DE FRUITS,11732010901 - ORANGE,1173201090158 - BOUTEILLE PLASTIQUE SUPERIEUR OU = 100CL,2590,nom_produit : b.gaz tropico pet 1.5l description_produit : 1173 - liquides non alcoolises categorie 1: 1173201 - limonades sodas extrait categorie 2 : 117320109 - sodas aux extraits de fruits,,,,,,,
662140327,B.Gaz TROPICO Pet 1L,1173 - LIQUIDES NON ALCOOLISES,1173201 - LIMONADES SODAS EXTRAIT,117320109 - SODAS AUX EXTRAITS DE FRUITS,11732010901 - ORANGE,1173201090158 - BOUTEILLE PLASTIQUE SUPERIEUR OU = 100CL,2490,nom_produit : b.gaz tropico pet 1l description_produit : 1173 - liquides non alcoolises categorie 1: 1173201 - limonades sodas extrait categorie 2 : 117320109 - sodas aux extraits de fruits,,,,,,,
