Code_Article,Nom_Produit,Description_Produit,Categorie 1,Categorie 2,Categorie,Sous_Categorie,combined,similar_product_in_dataset2,Prix_Produit_dataset2,Description_Produit_dataset2,Source_dataset2,Site_dataset2,Categorie_dataset2,Lien_Categorie1_dataset2,Categorie 1_dataset2,Lien_Categorie2_dataset2,Categorie 2_dataset2,Lien_Categorie3_dataset2,Categorie 3_dataset2,Nom_Produit_dataset2,Lien_Produit_dataset2,Description_Produit_dataset2,Prix_Produit_dataset2,Marque_Produit_dataset2,combined_dataset2
660080287.0,"Eau Minerale FOURAT Pet 1,5L",1173 - LIQUIDES NON ALCOOLISES,1173205 - EAUX,117320505 - EAUX MINERALES PLATES,11732050503 - UN LITRE ET PLUS,1173205050358 - 100CL ET PLUS,"nom_produit : eau minerale fourat pet 1,5l description_produit : 1173 - liquides non alcoolises categorie 1: 1173205 - eaux categorie 2 : 117320505 - eaux minerales plates",,,,Carrefour,https://www.carrefour.tn/,Boissons,https://www.carrefour.tn/default/boissons.html,Eaux,https://www.carrefour.tn/default/boissons/eaux/minerales.html,Minérales,,,Eau minérale PALMA 2L,https://www.carrefour.tn/default/eau-minerale-palma-2l-6191599900032.html,La bouteille de 2L,0 dt 940,PALMA,nom_produit : eau minérale palma 2l description_produit : la bouteille de 2l marque_produit : palma categorie 1: eaux categorie 2 : minérales
660080317.0,Eau Minerale FOURAT Pet 2L,1173 - LIQUIDES NON ALCOOLISES,1173205 - EAUX,117320505 - EAUX MINERALES PLATES,11732050503 - UN LITRE ET PLUS,1173205050358 - 100CL ET PLUS,nom_produit : eau minerale fourat pet 2l description_produit : 1173 - liquides non alcoolises categorie 1: 1173205 - eaux categorie 2 : 117320505 - eaux minerales plates,,,,Carrefour,https://www.carrefour.tn/,Boissons,https://www.carrefour.tn/default/boissons.html,Eaux,https://www.carrefour.tn/default/boissons/eaux/minerales.html,Minérales,,,Eau minérale MIRA 2L,https://www.carrefour.tn/default/null-null-6191428900073.html,La bouteille de 2L,0 dt 780,MIRA,nom_produit : eau minérale mira 2l description_produit : la bouteille de 2l marque_produit : mira categorie 1: eaux categorie 2 : minérales
660080337.0,Eau Minerale MARWA Pet 2L,1173 - LIQUIDES NON ALCOOLISES,1173205 - EAUX,117320505 - EAUX MINERALES PLATES,11732050503 - UN LITRE ET PLUS,1173205050358 - 100CL ET PLUS,nom_produit : eau minerale marwa pet 2l description_produit : 1173 - liquides non alcoolises categorie 1: 1173205 - eaux categorie 2 : 117320505 - eaux minerales plates,,,,Carrefour,https://www.carrefour.tn/,Boissons,https://www.carrefour.tn/default/boissons.html,Eaux,https://www.carrefour.tn/default/boissons/eaux/minerales.html,Minérales,,,Eau minérale DENYA 0.5L,https://www.carrefour.tn/default/eau-minerale-denya-6191466400023.html,La bouteille de 0.5L,0 dt 450,DENYA,nom_produit : eau minérale denya 0.5l description_produit : la bouteille de 0.5l marque_produit : denya categorie 1: eaux categorie 2 : minérales
660080347.0,"Eau Minerale MARWA Pet 1,5L",1173 - LIQUIDES NON ALCOOLISES,1173205 - EAUX,117320505 - EAUX MINERALES PLATES,11732050503 - UN LITRE ET PLUS,1173205050358 - 100CL ET PLUS,"nom_produit : eau minerale marwa pet 1,5l description_produit : 1173 - liquides non alcoolises categorie 1: 1173205 - eaux categorie 2 : 117320505 - eaux minerales plates",,,,Carrefour,https://www.carrefour.tn/,Boissons,https://www.carrefour.tn/default/boissons.html,Eaux,https://www.carrefour.tn/default/boissons/eaux/minerales.html,Minérales,,,Eau minérale MIRA 0.6L,https://www.carrefour.tn/default/eau-minerale-mira-6191428900097.html,La bouteille de 0.6L,0 dt 470,MIRA,nom_produit : eau minérale mira 0.6l description_produit : la bouteille de 0.6l marque_produit : mira categorie 1: eaux categorie 2 : minérales
660080387.0,Eau Minerale DIMA Pet 2 L,1173 - LIQUIDES NON ALCOOLISES,1173205 - EAUX,117320505 - EAUX MINERALES PLATES,11732050503 - UN LITRE ET PLUS,1173205050358 - 100CL ET PLUS,nom_produit : eau minerale dima pet 2 l description_produit : 1173 - liquides non alcoolises categorie 1: 1173205 - eaux categorie 2 : 117320505 - eaux minerales plates,,,,Carrefour,https://www.carrefour.tn/,Boissons,https://www.carrefour.tn/default/boissons.html,Eaux,https://www.carrefour.tn/default/boissons/eaux/minerales.html,Minérales,,,Eau minérale JANNET 2L,https://www.carrefour.tn/default/eau-minerale-jannet-6191534200081.html,La bouteille de 2L,0 dt 850,JANNET,nom_produit : eau minérale jannet 2l description_produit : la bouteille de 2l marque_produit : jannet categorie 1: eaux categorie 2 : minérales
660080417.0,Eau de Minerale MELLITI PET 1.5L,1173 - LIQUIDES NON ALCOOLISES,1173205 - EAUX,117320505 - EAUX MINERALES PLATES,11732050503 - UN LITRE ET PLUS,1173205050358 - 100CL ET PLUS,nom_produit : eau de minerale melliti pet 1.5l description_produit : 1173 - liquides non alcoolises categorie 1: 1173205 - eaux categorie 2 : 117320505 - eaux minerales plates,,,,Carrefour,https://www.carrefour.tn/,Boissons,https://www.carrefour.tn/default/boissons.html,Eaux,https://www.carrefour.tn/default/boissons/eaux/minerales.html,Minérales,,,Eau minérale PRIMAQUA 19L,https://www.carrefour.tn/default/eau-minerale-primaqua-3313.html,La bombonne de 19L avec consigne,16 dt 200,PRIMAQUA,nom_produit : eau minérale primaqua 19l description_produit : la bombonne de 19l avec consigne marque_produit : primaqua categorie 1: eaux categorie 2 : minérales
660080437.0,"EAU DE Minerale MELLITI PET 0,5L",1173 - LIQUIDES NON ALCOOLISES,1173205 - EAUX,117320505 - EAUX MINERALES PLATES,11732050501 - MOINS D UN LITRE,1173205050156 - JUSQU A 50CL,"nom_produit : eau de minerale melliti pet 0,5l description_produit : 1173 - liquides non alcoolises categorie 1: 1173205 - eaux categorie 2 : 117320505 - eaux minerales plates",,,,Carrefour,https://www.carrefour.tn/,Boissons,https://www.carrefour.tn/default/boissons.html,Eaux,https://www.carrefour.tn/default/boissons/eaux/minerales.html,Minérales,,,Eau minérale DÉLICE 1.5L,https://www.carrefour.tn/default/eau-minerale-delice-6191496000026.html,La bouteille de 1.5L,0 dt 670,DÉLICE,nom_produit : eau minérale délice 1.5l description_produit : la bouteille de 1.5l marque_produit : délice categorie 1: eaux categorie 2 : minérales
660081137.0,"Eau Minerale PALMA Pet 0,5L",1173 - LIQUIDES NON ALCOOLISES,1173205 - EAUX,117320505 - EAUX MINERALES PLATES,11732050501 - MOINS D UN LITRE,1173205050156 - JUSQU A 50CL,"nom_produit : eau minerale palma pet 0,5l description_produit : 1173 - liquides non alcoolises categorie 1: 1173205 - eaux categorie 2 : 117320505 - eaux minerales plates",,,,Carrefour,https://www.carrefour.tn/,Boissons,https://www.carrefour.tn/default/boissons.html,Eaux,https://www.carrefour.tn/default/boissons/eaux/minerales.html,Minérales,,,Eau minérale DÉLICE 0.5L,https://www.carrefour.tn/default/eau-minerale-delice-6191496000019.html,La bouteille de 0.5L,0 dt 470,DÉLICE,nom_produit : eau minérale délice 0.5l description_produit : la bouteille de 0.5l marque_produit : délice categorie 1: eaux categorie 2 : minérales
660081147.0,"Eau Minerale PALMA Pet 1,5",1173 - LIQUIDES NON ALCOOLISES,1173205 - EAUX,117320505 - EAUX MINERALES PLATES,11732050503 - UN LITRE ET PLUS,1173205050358 - 100CL ET PLUS,"nom_produit : eau minerale palma pet 1,5 description_produit : 1173 - liquides non alcoolises categorie 1: 1173205 - eaux categorie 2 : 117320505 - eaux minerales plates",,,,Carrefour,https://www.carrefour.tn/,Boissons,https://www.carrefour.tn/default/boissons.html,Eaux,https://www.carrefour.tn/default/boissons/eaux/minerales.html,Minérales,,,Eau minérale SAFIA 0.5L,https://www.carrefour.tn/default/eau-minerale-safia-6194001800555.html,La bouteille de 0.5L,0 dt 440,SAFIA,nom_produit : eau minérale safia 0.5l description_produit : la bouteille de 0.5l marque_produit : safia categorie 1: eaux categorie 2 : minérales
660081157.0,Eau Minerale PALMA Pet 2L,1173 - LIQUIDES NON ALCOOLISES,1173205 - EAUX,117320505 - EAUX MINERALES PLATES,11732050503 - UN LITRE ET PLUS,1173205050358 - 100CL ET PLUS,nom_produit : eau minerale palma pet 2l description_produit : 1173 - liquides non alcoolises categorie 1: 1173205 - eaux categorie 2 : 117320505 - eaux minerales plates,,,,Carrefour,https://www.carrefour.tn/,Boissons,https://www.carrefour.tn/default/boissons.html,Eaux,https://www.carrefour.tn/default/boissons/eaux/minerales.html,Minérales,,,"Eau minérale MAIN 0,5L",https://www.carrefour.tn/default/eau-minerale-main-0.5l-6191544700021.html,La bouteille de 0.5L,0 dt 365,MAIN,"nom_produit : eau minérale main 0,5l description_produit : la bouteille de 0.5l marque_produit : main categorie 1: eaux categorie 2 : minérales"
660081187.0,"Eau Minerale CRISTALINE Pet 1,5L",1173 - LIQUIDES NON ALCOOLISES,1173205 - EAUX,117320505 - EAUX MINERALES PLATES,11732050503 - UN LITRE ET PLUS,1173205050358 - 100CL ET PLUS,"nom_produit : eau minerale cristaline pet 1,5l description_produit : 1173 - liquides non alcoolises categorie 1: 1173205 - eaux categorie 2 : 117320505 - eaux minerales plates",,,,Carrefour,https://www.carrefour.tn/,Boissons,https://www.carrefour.tn/default/boissons.html,Eaux,https://www.carrefour.tn/default/boissons/eaux/minerales.html,Minérales,,,Eau minérale PRIMAQUA 19L,https://www.carrefour.tn/default/eau-minerale-primaqua-2010100036753.html,La bombonne de 19L sans consigne,5 dt 450,PRIMAQUA,nom_produit : eau minérale primaqua 19l description_produit : la bombonne de 19l sans consigne marque_produit : primaqua categorie 1: eaux categorie 2 : minérales
660081197.0,"Eau Minerale CRISTALINE Pet 0,5L",1173 - LIQUIDES NON ALCOOLISES,1173205 - EAUX,117320505 - EAUX MINERALES PLATES,11732050501 - MOINS D UN LITRE,1173205050156 - JUSQU A 50CL,"nom_produit : eau minerale cristaline pet 0,5l description_produit : 1173 - liquides non alcoolises categorie 1: 1173205 - eaux categorie 2 : 117320505 - eaux minerales plates",,,,Carrefour,https://www.carrefour.tn/,Boissons,https://www.carrefour.tn/default/boissons.html,Eaux,https://www.carrefour.tn/default/boissons/eaux/minerales.html,Minérales,,,"Eau minérale VIVIAN 1,5L",https://www.carrefour.tn/default/eau-minerale---vivian-6191465700025.html,La bouteille de 1.5L,0 dt 750,VIVIAN,"nom_produit : eau minérale vivian 1,5l description_produit : la bouteille de 1.5l marque_produit : vivian categorie 1: eaux categorie 2 : minérales"
660081247.0,Eau Minerale CRISTALINE Pet 1L,1173 - LIQUIDES NON ALCOOLISES,1173205 - EAUX,117320505 - EAUX MINERALES PLATES,11732050503 - UN LITRE ET PLUS,1173205050358 - 100CL ET PLUS,nom_produit : eau minerale cristaline pet 1l description_produit : 1173 - liquides non alcoolises categorie 1: 1173205 - eaux categorie 2 : 117320505 - eaux minerales plates,,,,Carrefour,https://www.carrefour.tn/,Boissons,https://www.carrefour.tn/default/boissons.html,Eaux,https://www.carrefour.tn/default/boissons/eaux/minerales.html,Minérales,,,"Eau minérale VIVIAN 0,5L",https://www.carrefour.tn/default/eau-minerale---vivian-6191465700018.html,La bouteille de 0.5L,0 dt 410,VIVIAN,"nom_produit : eau minérale vivian 0,5l description_produit : la bouteille de 0.5l marque_produit : vivian categorie 1: eaux categorie 2 : minérales"
660081297.0,Eau Minerale PRIMAQUA 6L,1173 - LIQUIDES NON ALCOOLISES,1173205 - EAUX,117320505 - EAUX MINERALES PLATES,11732050503 - UN LITRE ET PLUS,1173205050358 - 100CL ET PLUS,nom_produit : eau minerale primaqua 6l description_produit : 1173 - liquides non alcoolises categorie 1: 1173205 - eaux categorie 2 : 117320505 - eaux minerales plates,,,,Carrefour,https://www.carrefour.tn/,Boissons,https://www.carrefour.tn/default/boissons.html,Eaux,https://www.carrefour.tn/default/boissons/eaux/minerales.html,Minérales,,,Eau minérale TIJEN 0.5L,https://www.carrefour.tn/default/eau-minerale--tijen-6191475200027.html,La bouteille de 0.5L,0 dt 450,TIJEN,nom_produit : eau minérale tijen 0.5l description_produit : la bouteille de 0.5l marque_produit : tijen categorie 1: eaux categorie 2 : minérales
660081337.0,Eau Minerale CRISTALINE Pet 2 L,1173 - LIQUIDES NON ALCOOLISES,1173205 - EAUX,117320505 - EAUX MINERALES PLATES,11732050503 - UN LITRE ET PLUS,1173205050358 - 100CL ET PLUS,nom_produit : eau minerale cristaline pet 2 l description_produit : 1173 - liquides non alcoolises categorie 1: 1173205 - eaux categorie 2 : 117320505 - eaux minerales plates,,,,Carrefour,https://www.carrefour.tn/,Boissons,https://www.carrefour.tn/default/boissons.html,Eaux,https://www.carrefour.tn/default/boissons/eaux/minerales.html,Minérales,,,Eau minérale TIJEN 1.5L,https://www.carrefour.tn/default/eau-minerale-tijen-1.5l-1.5l-6191475200010.html,La bouteille de 1.5L,0 dt 640,TIJEN,nom_produit : eau minérale tijen 1.5l description_produit : la bouteille de 1.5l marque_produit : tijen categorie 1: eaux categorie 2 : minérales
660081357.0,Eau Minerale TIJEN Pet 1.5L,1173 - LIQUIDES NON ALCOOLISES,1173205 - EAUX,117320505 - EAUX MINERALES PLATES,11732050503 - UN LITRE ET PLUS,1173205050358 - 100CL ET PLUS,nom_produit : eau minerale tijen pet 1.5l description_produit : 1173 - liquides non alcoolises categorie 1: 1173205 - eaux categorie 2 : 117320505 - eaux minerales plates,,,,Carrefour,https://www.carrefour.tn/,Boissons,https://www.carrefour.tn/default/boissons.html,Eaux,https://www.carrefour.tn/default/boissons/eaux/minerales.html,Minérales,,,Eau minérale SABRINE 1.5L,https://www.carrefour.tn/default/eau-minerale---sabrine-6194007510014.html,La bouteille de 1.5L,0 dt 650,SABRINE,nom_produit : eau minérale sabrine 1.5l description_produit : la bouteille de 1.5l marque_produit : sabrine categorie 1: eaux categorie 2 : minérales
660081367.0,Eau Minerale TIJEN Pet 0.5L,1173 - LIQUIDES NON ALCOOLISES,1173205 - EAUX,117320505 - EAUX MINERALES PLATES,11732050501 - MOINS D UN LITRE,1173205050156 - JUSQU A 50CL,nom_produit : eau minerale tijen pet 0.5l description_produit : 1173 - liquides non alcoolises categorie 1: 1173205 - eaux categorie 2 : 117320505 - eaux minerales plates,,,,Carrefour,https://www.carrefour.tn/,Boissons,https://www.carrefour.tn/default/boissons.html,Eaux,https://www.carrefour.tn/default/boissons/eaux/minerales.html,Minérales,,,Eau minérale SABRINE 1L,https://www.carrefour.tn/default/eau-minerale---sabrine-6194007530562.html,La bouteille de 1L,0 dt 570,SABRINE,nom_produit : eau minérale sabrine 1l description_produit : la bouteille de 1l marque_produit : sabrine categorie 1: eaux categorie 2 : minérales
660081377.0,EAU MINERALE PET 2L MIRA,1173 - LIQUIDES NON ALCOOLISES,1173205 - EAUX,117320505 - EAUX MINERALES PLATES,11732050501 - MOINS D UN LITRE,1173205050156 - JUSQU A 50CL,nom_produit : eau minerale pet 2l mira description_produit : 1173 - liquides non alcoolises categorie 1: 1173205 - eaux categorie 2 : 117320505 - eaux minerales plates,,,,Carrefour,https://www.carrefour.tn/,Boissons,https://www.carrefour.tn/default/boissons.html,Eaux,https://www.carrefour.tn/default/boissons/eaux/minerales.html,Minérales,,,Eau minérale PRIMAQUA 6L,https://www.carrefour.tn/default/eau-minerale---primaqua-6194005660407.html,Le bombonne de 6L,2 dt 440,PRIMAQUA,nom_produit : eau minérale primaqua 6l description_produit : le bombonne de 6l marque_produit : primaqua categorie 1: eaux categorie 2 : minérales
660081387.0,EAU MINERALE PET 1.5L MIRA,1173 - LIQUIDES NON ALCOOLISES,1173205 - EAUX,117320505 - EAUX MINERALES PLATES,11732050501 - MOINS D UN LITRE,1173205050156 - JUSQU A 50CL,nom_produit : eau minerale pet 1.5l mira description_produit : 1173 - liquides non alcoolises categorie 1: 1173205 - eaux categorie 2 : 117320505 - eaux minerales plates,,,,Carrefour,https://www.carrefour.tn/,Boissons,https://www.carrefour.tn/default/boissons.html,Eaux,https://www.carrefour.tn/default/boissons/eaux/minerales.html,Minérales,,,"Eau minérale PRISTINE 1,5L",https://www.carrefour.tn/default/eau-minerale---pristine-6191467300032.html,La bouteille de 1.5L,0 dt 660,PRISTINE,"nom_produit : eau minérale pristine 1,5l description_produit : la bouteille de 1.5l marque_produit : pristine categorie 1: eaux categorie 2 : minérales"
660081397.0,EAU MINERALE PET 0.6L MIRA,1173 - LIQUIDES NON ALCOOLISES,1173205 - EAUX,117320505 - EAUX MINERALES PLATES,11732050501 - MOINS D UN LITRE,1173205050156 - JUSQU A 50CL,nom_produit : eau minerale pet 0.6l mira description_produit : 1173 - liquides non alcoolises categorie 1: 1173205 - eaux categorie 2 : 117320505 - eaux minerales plates,,,,Carrefour,https://www.carrefour.tn/,Boissons,https://www.carrefour.tn/default/boissons.html,Eaux,https://www.carrefour.tn/default/boissons/eaux/minerales.html,Minérales,,,"Eau minérale PRISTINE 0,5L",https://www.carrefour.tn/default/eau-minerale-pristine-6191467300018.html,La bouteille de 0.5L,0 dt 450,PRISTINE,"nom_produit : eau minérale pristine 0,5l description_produit : la bouteille de 0.5l marque_produit : pristine categorie 1: eaux categorie 2 : minérales"
660081407.0,EAU MINERALE PET 0 5L DENYA,1173 - LIQUIDES NON ALCOOLISES,1173205 - EAUX,117320505 - EAUX MINERALES PLATES,11732050503 - UN LITRE ET PLUS,1173205050358 - 100CL ET PLUS,nom_produit : eau minerale pet 0 5l denya description_produit : 1173 - liquides non alcoolises categorie 1: 1173205 - eaux categorie 2 : 117320505 - eaux minerales plates,,,,Carrefour,https://www.carrefour.tn/,Boissons,https://www.carrefour.tn/default/boissons.html,Eaux,https://www.carrefour.tn/default/boissons/eaux/minerales.html,Minérales,,,Eau minérale PALMA 1.5L,https://www.carrefour.tn/default/eau-minerale-palma-6191599900025.html,La bouteille de 1.5L,0 dt 800,PALMA,nom_produit : eau minérale palma 1.5l description_produit : la bouteille de 1.5l marque_produit : palma categorie 1: eaux categorie 2 : minérales
660081457.0,Eau minerale Aqualine Pet 1L,1173 - LIQUIDES NON ALCOOLISES,1173205 - EAUX,117320505 - EAUX MINERALES PLATES,11732050503 - UN LITRE ET PLUS,1173205050358 - 100CL ET PLUS,nom_produit : eau minerale aqualine pet 1l description_produit : 1173 - liquides non alcoolises categorie 1: 1173205 - eaux categorie 2 : 117320505 - eaux minerales plates,,,,Carrefour,https://www.carrefour.tn/,Boissons,https://www.carrefour.tn/default/boissons.html,Eaux,https://www.carrefour.tn/default/boissons/eaux/minerales.html,Minérales,,,Eau minérale PALMA 0.5L,https://www.carrefour.tn/default/eau-minerale-palma-6191599900018.html,La bouteille de 0.5L,0 dt 540,PALMA,nom_produit : eau minérale palma 0.5l description_produit : la bouteille de 0.5l marque_produit : palma categorie 1: eaux categorie 2 : minérales
